"wmi";"name";"id"
"4KL";"ISUZU";308
"4M2";"MERCURY";309
"4N1";"NISSAN";310
"4N2";"NISSAN";311
"4NU";"ISUZU";312
"4P3";"PLYMOUTH";313
"PL1";"PROTON";1248
"4S1";"ISUZU";315
"4S2";"ISUZU";316
"4S7";"SPARTAN";320
"4SL";"MAGNUM";321
"4T1";"TOYOTA";322
"4T3";"TOYOTA";323
"4TA";"TOYOTA";324
"PL8";"HYUNDAI INOKOM";1249
"PLP";"SUBARU";1250
"PMH";"HONDA";1251
"PML";"HICOM";1252
"PM1";"BMW";1253
"PM2";"PERODUA";1254
"PM9";"BUFORI";1255
"4VA";"VOLVO";332
"4VG";"VOLVO, WHITEGMC";333
"4VH";"VOLVO";334
"4VJ";"VOLVO";335
"4VK";"VOLVO";336
"PMK";"HONDA BOON SIEW";1256
"PMN";"MODENAS";1257
"PMV";"YAMAHA HONG LEONG";1258
"5AS";"GEM";340
"5B4";"WORKHORSE";341
"5CK";"WESTERN STAR TRUCKS";342
"5FP";"HONDA";344
"5FY";"NEW FLYER";345
"5GA";"BUICK";346
"5GR";"HUMMER";347
"5GT";"HUMMER";348
"5GZ";"SATURN";349
"5J8";"ACURA";351
"5KJ";"WESTERN STAR TRUCKS";352
"5KK";"WESTERN STAR TRUCKS";353
"5LM";"LINCOLN";354
"5LT";"LINCOLN";355
"PNA";"PEUGEOT";1260
"5N3";"INFINITI";357
"PNV";"VOLVO CARS";1261
"5PV";"HINO";360
"5SA";"SUZUKI";361
"5S3";"SAAB";362
"5SX";"AMERCIAN LEFRANCE";363
"5T4";"WORKHORSE";364
"5TB";"TOYOTA";365
"5TD";"TOYOTA";366
"5TE";"TOYOTA";367
"5TF";"TOYOTA";368
"5UM";"BMW";369
"5UX";"BMW";370
"5XY";"KIA";371
"5Y2";"PONTIAC";372
"5YM";"BMW";373
"5Z6";"SUZUKI";374
"PN1";"TOYOTA";1262
"PN8";"NISSAN";1263
"PP1";"MAZDA";1264
"PP3";"HYUNDAI";1265
"PPP";"SUZUKI";1266
"PR8";"FORD";1267
"SAB";"OPTARE";1268
"SAJ";"JAGUAR";1269
"6MP";"MERCURY";383
"SAL";"LAND ROVER";1270
"SAR";"ROVER";1271
"SAT";"TRIUMPH";1272
"SB1";"TOYOTA";1273
"SBM";"MCLAREN AUTOMOTIVE";1274
"SCC";"LOTUS CARS";1275
"SCF";"ASTON MARTIN LAGONDA LIMITED";1276
"SCE";"DELOREAN";1277
"SFD";"ALEXANDER DENNIS";1278
"SFE";"ALEXANDER DENNIS (NORTH AMERICA)";1279
"SHH";"HONDA";1280
"SHS";"HONDA";1281
"SJN";"NISSAN";1282
"SUD";"WIELTON";1283
"TCC";"MICRO COMPACT CAR";1284
"TEB";"JOHNSTON SWEEPER (BUCHER)";1285
"TMA";"HYUNDAI";1286
"TMB";"ŠKODA";1287
"TRU";"AUDI";1288
"TSM";"SUZUKI";1289
"U5Y";"KIA";1290
"UU";"DACIA";1291
"VA0";"ÖAF";1292
"VF1";"RENAULT";1293
"9DB";"MERCEDES-BENZ";409
"9DW";"VOLKSWAGEN";410
"VF2";"RENAULT";1294
"VF3";"PEUGEOT";1295
"VF4";"TALBOT";1296
"VF5";"IVECO UNIC SA";1297
"VF6";"RENAULT TRUCKS/VOLVO";1298
"VF7";"CITROËN";1299
"J81";"CHEVROLET,GEO";418
